fecha,producto_id,cantidad,total_venta
2024-03-12,P060,8,3971
2024-01-11,P011,11,4543
2024-06-30,P044,14,1854
2024-04-02,P039,4,1369
2024-12-01,P027,20,9876
2024-10-30,P100,16,1317
2024-09-19,P051,8,1939
2024-04-10,P003,17,5053
2024-07-21,P030,4,1997
2024-06-23,P082,6,2946
2024-04-14,P080,6,1320
2024-03-30,P090,3,808
2024-06-06,P100,9,646
2024-11-05,P007,19,7097
2024-04-07,P030,15,1569
2024-07-06,P048,5,657
2024-10-20,P002,13,2398
2024-02-17,P066,15,4155
2024-01-25,P014,14,386
2024-02-14,P077,12,264
2024-09-05,P062,17,2445
2024-03-23,P100,6,411
2024-09-29,P032,2,831
2024-12-21,P057,20,2534
2024-11-08,P006,1,327
2024-07-17,P056,1,143
2024-02-02,P002,16,3410
2024-02-13,P026,18,3883
2024-12-30,P096,18,4640
2024-10-13,P086,9,640
2024-07-17,P027,12,800
2024-03-28,P087,3,1353
2024-06-30,P015,6,1680
2024-06-24,P093,20,463
2024-09-17,P018,19,3350
2024-09-29,P021,11,1668
2024-01-15,P049,4,1670
2024-06-01,P005,9,4362
2024-05-24,P037,6,1171
2024-01-16,P016,16,7063
2024-02-23,P042,10,1596
2024-03-03,P003,19,4390
2024-01-09,P003,20,6071
2024-06-22,P038,13,1498
2024-08-06,P034,6,2104
2024-08-10,P099,12,2537
2024-07-31,P069,7,563
2024-03-15,P048,13,1749
2024-12-06,P100,13,2829
2024-01-21,P070,15,3075
2024-11-21,P061,11,2508
2024-02-03,P033,13,5498
2024-08-27,P041,6,1282
2024-03-18,P022,8,2558
2024-01-17,P053,9,2991
2024-07-21,P036,13,866
2024-12-16,P065,1,125
2024-01-06,P001,16,1989
2024-05-21,P098,11,465
2024-08-19,P015,4,77
2024-12-15,P002,17,6070
2024-07-06,P009,17,295
2024-08-09,P039,5,1143
2024-01-18,P086,7,1266
2024-03-16,P087,1,467
2024-05-06,P093,19,7675
2024-01-02,P007,19,6730
2024-01-18,P011,4,242
2024-01-01,P017,7,2194
2024-10-16,P048,2,164
2024-08-23,P073,3,437
2024-03-25,P059,8,2718
2024-10-19,P029,13,2873
2024-12-28,P009,2,712
2024-03-18,P035,7,2485
2024-04-29,P005,15,1050
2024-11-11,P067,20,2892
2024-09-25,P037,5,324
2024-07-16,P057,9,3556
2024-02-24,P006,12,3890
2024-06-29,P017,5,183
2024-12-05,P022,18,589
2024-05-21,P082,20,5379
2024-12-30,P084,5,1083
2024-06-28,P090,18,7528
2024-01-30,P054,1,453
2024-11-13,P025,14,2799
2024-10-31,P075,13,4723
2024-07-27,P018,3,1168
2024-04-26,P057,1,41
2024-12-01,P026,15,5094
2024-11-13,P017,20,3336
2024-10-14,P073,6,640
2024-01-03,P001,20,4735
2024-09-05,P019,6,1906
2024-05-10,P076,16,5904
2024-11-29,P049,10,887
2024-02-27,P018,19,8039
2024-02-06,P027,5,1387
2024-08-12,P042,4,1096
2024-02-12,P063,18,892
2024-05-22,P016,13,4612
2024-05-27,P073,7,1289
2024-07-29,P069,2,455
2024-02-29,P015,5,2095
2024-12-22,P077,13,2133
2024-03-09,P061,9,4202
2024-11-09,P085,6,2726
2024-04-15,P065,12,941
2024-09-10,P069,3,675
2024-09-05,P092,7,2132
2024-01-05,P047,7,1060
2024-03-31,P073,7,1279
2024-04-07,P031,1,22
2024-11-09,P045,14,6363
2024-01-14,P022,2,573
2024-02-21,P010,20,8676
2024-11-26,P047,2,145
2024-07-07,P035,20,7071
2024-02-11,P064,15,6363
2024-08-06,P047,19,5873
2024-08-07,P045,13,823
2024-10-13,P036,6,2924
2024-07-18,P081,14,6308
2024-01-25,P027,3,1356
2024-03-24,P087,10,2425
2024-12-24,P055,17,7544
2024-10-21,P098,6,1100
2024-12-25,P054,3,1192
2024-11-25,P048,17,2694
2024-10-21,P051,5,2292
2024-03-12,P058,4,1384
2024-04-11,P083,13,5728
2024-07-26,P091,17,3011
2024-11-29,P027,11,2161
2024-08-24,P007,3,835
2024-07-21,P056,4,1902
2024-08-20,P063,14,2816
2024-04-13,P071,15,4546
2024-10-08,P028,11,4148
2024-03-29,P026,20,1882
2024-04-15,P099,13,5859
2024-03-13,P021,6,1993
2024-11-10,P019,2,422
2024-05-20,P050,1,383
2024-01-13,P087,19,7372
2024-09-12,P056,1,253
2024-11-04,P073,6,493
2024-07-14,P084,1,93
2024-01-13,P034,15,3458
2024-02-27,P004,13,5571
2024-07-27,P024,5,727
2024-07-22,P050,8,1393
2024-10-24,P031,19,4897
2024-09-21,P082,19,1388
2024-02-27,P016,12,3951
2024-07-17,P080,4,963
2024-08-19,P084,13,5860
2024-05-10,P087,15,6712
2024-08-09,P087,11,2777
2024-08-22,P023,4,990
2024-10-25,P080,4,174
2024-02-28,P035,2,858
2024-04-04,P018,9,4256
2024-12-11,P067,12,457
2024-10-11,P083,17,5768
2024-06-08,P047,5,809
2024-05-12,P004,7,1217
2024-06-28,P053,4,1018
2024-09-12,P053,20,2580
2024-05-21,P014,1,97
2024-06-21,P012,4,1467
2024-03-08,P021,7,1824
2024-06-29,P096,9,1033
2024-06-13,P031,18,1368
2024-03-10,P037,8,2406
2024-04-28,P073,11,4879
2024-08-21,P062,12,2421
2024-03-19,P091,9,3067
2024-04-04,P010,9,2595
2024-10-02,P078,2,770
2024-03-15,P086,11,2711
2024-10-07,P095,15,3813
2024-11-21,P064,20,4907
2024-07-14,P038,10,3728
2024-03-10,P059,18,8090
2024-05-01,P034,16,5076
2024-10-30,P014,1,165
2024-12-11,P002,8,1190
2024-04-07,P069,6,1911
2024-04-01,P058,9,4176
2024-11-14,P073,1,363
2024-02-06,P093,5,584
2024-10-23,P045,1,125
2024-01-13,P011,6,2583
2024-01-26,P003,13,2483
2024-06-01,P049,3,1295
2024-05-21,P083,20,7897
2024-11-02,P026,17,3286
2024-04-18,P079,19,1929
2024-05-20,P094,5,134
2024-07-10,P037,10,4696
2024-10-19,P007,3,1386
2024-08-04,P042,16,2175
2024-07-12,P005,8,1610
2024-07-04,P092,5,1665
2024-01-20,P060,7,2643
2024-08-22,P065,6,800
2024-10-07,P060,15,1017
2024-01-04,P023,16,3172
2024-05-09,P025,3,444
2024-01-17,P082,6,1240
2024-05-11,P070,11,3479
2024-07-10,P022,6,1934
2024-03-18,P072,15,5460
2024-06-14,P054,13,4253
2024-08-20,P068,1,366
2024-07-25,P096,6,2565
2024-08-27,P012,19,6550
2024-11-29,P085,9,1718
2024-08-06,P008,1,189
2024-01-03,P072,11,2995
2024-05-10,P095,7,3429
2024-04-20,P089,13,5953
2024-12-03,P033,9,3992
2024-01-03,P056,7,1206
2024-08-26,P002,19,2740
2024-07-01,P035,13,6473
2024-12-10,P055,20,8228
2024-08-05,P077,16,3469
2024-09-23,P089,18,1003
2024-05-19,P024,16,2728
2024-06-04,P016,6,668
2024-06-14,P065,13,5760
2024-08-11,P021,2,798
2024-03-25,P073,10,4188
2024-10-20,P034,3,347
2024-01-10,P004,1,194
2024-06-20,P015,10,2258
2024-12-12,P014,3,1437
2024-11-30,P095,2,357
2024-11-24,P087,3,848
2024-12-05,P068,10,1439
2024-11-18,P063,1,31
2024-04-22,P045,18,5552
2024-12-10,P065,16,5314
2024-10-22,P098,12,5177
2024-12-30,P050,3,806
2024-12-02,P055,10,4576
2024-04-30,P042,1,182
2024-09-11,P037,17,5605
2024-05-31,P031,8,3244
2024-06-02,P038,7,1038
2024-03-05,P081,8,3716
2024-07-13,P032,13,558
2024-08-18,P054,12,3544
2024-10-19,P050,19,5777
2024-05-15,P006,13,3617
2024-06-02,P006,10,439
2024-01-28,P044,8,1965
2024-12-20,P077,14,2074
2024-10-28,P072,4,1154
2024-02-26,P041,10,2234
2024-03-23,P050,6,2292
2024-06-07,P018,1,130
2024-06-04,P022,16,3357
2024-09-19,P086,4,1547
2024-10-01,P058,18,8270
2024-04-17,P020,2,541
2024-10-13,P060,17,4953
2024-05-19,P063,17,2080
2024-11-29,P015,7,3175
2024-07-30,P031,6,1966
2024-11-23,P009,14,2067
2024-04-17,P055,7,1556
2024-06-12,P093,2,181
2024-02-07,P098,20,6165
2024-01-09,P061,4,213
2024-07-19,P089,17,3342
2024-01-04,P040,10,4874
2024-10-02,P027,1,499
2024-02-17,P021,19,3458
2024-02-13,P074,17,7315
2024-09-08,P023,15,1693
2024-05-16,P028,16,1318
2024-02-26,P054,11,3429
2024-12-16,P089,5,1379
2024-07-29,P030,16,6361
2024-07-25,P035,9,702
2024-11-08,P098,7,1270
2024-02-21,P086,3,1396
2024-07-11,P030,4,807
2024-02-25,P030,6,2309
2024-05-25,P004,8,2702
2024-06-10,P046,13,1044
2024-12-21,P062,6,2071
2024-03-04,P012,8,1728
2024-03-27,P100,9,259
2024-02-19,P045,11,4199
2024-11-26,P056,7,308
2024-12-26,P099,5,1378
2024-01-21,P036,4,138
2024-06-21,P007,13,1110
2024-04-27,P041,7,3086
2024-08-01,P030,20,9244
2024-10-10,P043,4,902
2024-10-29,P043,16,2868
2024-08-06,P016,11,2410
2024-05-10,P049,17,7993
2024-01-18,P090,12,5420
2024-02-21,P001,2,235
2024-07-10,P026,15,3994
2024-02-05,P096,15,3578
2024-01-31,P099,6,2863
2024-10-12,P083,6,1282
2024-04-19,P062,1,22
2024-04-11,P025,13,1316
2024-08-20,P074,10,2885
2024-11-05,P091,7,788
2024-09-29,P012,2,462
2024-10-22,P032,5,412
2024-01-24,P041,8,1872
2024-10-24,P076,11,3212
2024-08-22,P050,10,923
2024-07-27,P043,14,5756
2024-10-14,P062,9,1413
2024-01-03,P001,1,445
2024-11-08,P093,15,2446
2024-07-01,P016,14,614
2024-03-05,P068,16,4221
2024-11-17,P065,1,436
2024-04-28,P070,18,7717
2024-05-17,P018,5,2097
2024-03-07,P021,1,312
2024-12-23,P075,10,3289
2024-12-22,P050,8,2946
2024-01-03,P100,18,791
2024-05-29,P074,11,4776
2024-08-01,P076,10,4857
2024-04-03,P007,14,2854
2024-07-28,P006,14,3636
2024-08-29,P098,11,3038
2024-04-19,P093,4,1224
2024-09-22,P064,12,3935
2024-03-18,P054,15,475
2024-10-03,P023,16,5266
2024-05-06,P008,16,549
2024-08-20,P062,14,1012
2024-04-12,P068,9,364
2024-11-04,P029,19,4144
2024-05-27,P044,1,159
2024-06-28,P042,6,1562
2024-10-08,P091,18,7058
2024-07-04,P050,6,1577
2024-11-14,P024,17,253
2024-11-20,P076,2,507
2024-11-03,P054,1,256
2024-04-06,P087,7,1020
2024-02-15,P064,2,785
2024-04-02,P029,12,4060
2024-04-28,P062,14,2767
2024-07-24,P062,1,481
2024-02-11,P057,18,5857
2024-02-26,P072,18,7258
2024-01-13,P083,10,4135
2024-07-28,P057,10,4455
2024-01-24,P026,3,962
2024-12-03,P076,3,840
2024-11-01,P053,1,140
2024-05-29,P006,11,4284
2024-03-02,P099,18,4283
2024-08-09,P011,4,994
2024-02-09,P057,17,3958
2024-09-19,P069,3,247
2024-09-10,P024,7,576
2024-05-13,P049,16,6609
2024-02-21,P098,12,4354
2024-04-05,P050,18,1910
2024-04-11,P085,1,95
2024-02-25,P061,2,440
2024-02-03,P089,10,4876
2024-12-24,P081,10,2101
2024-05-26,P017,20,304
2024-07-21,P074,19,2627
2024-11-17,P013,19,8844
2024-08-06,P058,1,313
2024-01-16,P076,17,4460
2024-11-30,P039,6,2316
2024-03-11,P087,1,87
2024-12-14,P004,11,1485
2024-12-15,P087,16,7870
2024-04-15,P094,13,4381
2024-01-09,P032,15,7286
2024-03-20,P062,2,52
2024-08-17,P091,3,1356
2024-07-22,P024,15,3269
2024-03-23,P004,9,4126
2024-09-28,P072,9,3139
2024-04-22,P084,3,53
2024-03-05,P028,13,380
2024-05-09,P070,8,2360
2024-12-16,P066,3,1167
2024-10-27,P054,7,3226
2024-03-30,P075,5,1717
2024-12-24,P019,7,209
2024-07-05,P097,2,353
2024-08-31,P010,2,451
2024-12-11,P074,11,2351
2024-03-30,P019,2,60
2024-06-09,P066,13,2774
2024-04-23,P013,10,1352
2024-08-31,P078,8,1743
2024-06-04,P076,9,767
2024-03-12,P093,1,104
2024-08-21,P006,15,550
2024-06-14,P061,13,2106
2024-05-28,P031,10,4498
2024-10-07,P064,1,493
2024-05-04,P019,1,366
2024-05-09,P032,19,4320
2024-03-13,P081,15,3692
2024-04-23,P001,1,135
2024-02-03,P003,11,3246
2024-02-12,P022,7,2566
2024-01-18,P048,2,916
2024-10-19,P087,17,5090
2024-05-04,P065,10,3521
2024-05-11,P071,2,667
2024-12-03,P034,19,1323
2024-01-09,P075,15,457
2024-11-20,P052,7,2183
2024-11-21,P054,7,1503
2024-08-13,P035,6,1748
2024-05-17,P027,18,6968
2024-10-08,P008,11,3778
2024-11-25,P034,20,4161
2024-09-18,P052,2,481
2024-12-09,P001,9,3522
2024-09-03,P004,14,2330
2024-01-12,P091,5,1051
2024-02-27,P068,12,4262
2024-03-17,P015,12,4296
2024-07-12,P050,19,7987
2024-11-04,P063,8,611
2024-02-09,P020,15,4215
2024-04-01,P013,8,639
2024-08-23,P014,20,4977
2024-09-26,P089,14,5413
2024-05-27,P062,4,1411
2024-07-05,P016,4,369
2024-08-15,P032,13,1559
2024-10-18,P060,3,1314
2024-11-17,P024,2,248
2024-11-23,P061,1,66
2024-02-05,P065,2,578
2024-04-11,P063,11,3812
2024-11-11,P007,8,3755
2024-08-22,P010,13,6302
2024-07-27,P079,16,7418
2024-09-29,P081,5,1162
2024-03-22,P014,4,1311
2024-02-12,P061,2,206
2024-09-01,P005,10,4671
2024-02-02,P011,15,5855
2024-12-04,P013,18,203
2024-03-10,P076,9,1053
2024-09-06,P023,17,1393
2024-09-07,P085,1,231
2024-11-06,P028,6,1586
2024-08-05,P043,15,6000
2024-01-16,P096,16,3946
2024-12-12,P076,10,636
2024-08-10,P013,10,3749
2024-09-08,P085,4,1982
2024-11-29,P027,13,4998
2024-05-03,P042,15,3123
2024-08-11,P095,10,1172
2024-09-05,P065,2,370
2024-07-26,P074,13,3242
2024-06-28,P091,10,2904
2024-06-21,P019,9,552
2024-03-06,P024,19,6965
2024-09-19,P074,14,6244
2024-09-28,P010,8,808
2024-06-14,P047,13,5159
2024-05-26,P072,8,921
2024-04-23,P026,4,1035
2024-12-26,P079,16,4176
2024-11-12,P024,18,8372
2024-05-10,P011,3,671
2024-06-25,P033,12,2972
2024-08-14,P004,1,492
2024-12-22,P052,10,3428
2024-05-25,P006,4,692
2024-05-31,P036,20,3348
2024-08-13,P067,1,74
2024-06-09,P036,2,750
2024-03-14,P004,7,2020
